firm_id,house_effect,firm,date,Biden,Sanders,Bloomberg,Warren,Buttigieg,Klobuchar,Gabbard,Steyer,Patrick,Yang,Harris,Booker,ORourke,Castro,Bullock,Williamson,Bennet,deBlasio,Delaney
6,0.9,Harvard-Harris,3/25/2019,35,17,NA,6,2,2,2,NA,NA,1,5,4,7,1,NA,NA,NA,NA,NA
6,0.9,Harvard-Harris,3/25/2019,26,18,NA,5,2,1,0,NA,NA,2,11,3,5,1,NA,NA,NA,NA,NA
11,0.5,Politico/Morning Consult,3/25/2019,33,25,NA,7,3,2,1,NA,NA,NA,8,4,8,1,1,NA,NA,NA,1
12,0.5,Quinnipiac,3/21/2019,29,19,NA,4,4,2,0,NA,NA,0,8,2,12,1,NA,0,NA,NA,NA
11,0.5,Politico/Morning Consult,3/18/2019,35,25,NA,7,2,2,1,NA,NA,NA,8,4,8,1,1,NA,NA,NA,1
4,-1.8,Emerson,3/17/2019,26,26,NA,8,3,1,1,NA,NA,1,12,3,11,1,NA,NA,NA,NA,NA
5,0.9,FOX News,3/17/2019,31,23,NA,4,1,1,0,NA,NA,1,8,4,8,1,0,NA,0,NA,1
8,0.7,LA Times/USC,3/15/2019,27,16,NA,4,2,1,1,NA,NA,1,7,2,7,1,NA,0,NA,NA,0
2,0.1,CNN,3/14/2019,28,20,NA,6,1,3,0,NA,NA,NA,12,3,11,1,0,NA,NA,NA,0
11,0.5,Politico/Morning Consult,3/11/2019,35,27,NA,7,1,2,1,NA,NA,NA,8,4,8,1,0,NA,NA,NA,1
11,0.5,Politico/Morning Consult,3/4/2019,31,27,NA,7,1,3,1,NA,NA,NA,10,4,7,1,1,NA,NA,NA,1
9,-0.7,Monmouth,3/1/2019,28,25,NA,8,0,3,0,NA,NA,1,10,5,6,1,0,0,0,NA,0
11,0.5,Politico/Morning Consult,2/25/2019,31,27,NA,7,1,3,1,NA,NA,NA,11,4,6,1,NA,NA,NA,NA,0
6,0.9,Harvard-Harris,2/19/2019,37,22,NA,4,NA,NA,1,NA,NA,NA,10,2,6,2,NA,NA,NA,NA,NA
6,0.9,Harvard-Harris,2/19/2019,30,19,NA,4,NA,NA,0,NA,NA,NA,10,5,4,0,NA,NA,NA,NA,NA
11,0.5,Politico/Morning Consult,2/18/2019,29,27,NA,7,1,3,1,NA,NA,NA,10,4,7,1,NA,NA,NA,NA,1
4,-1.8,Emerson,2/14/2019,27,17,NA,9,0,5,2,NA,NA,NA,15,9,4,1,NA,NA,NA,NA,0
11,0.5,Politico/Morning Consult,2/11/2019,30,21,NA,8,0,4,1,NA,NA,NA,11,5,7,1,NA,NA,NA,NA,0
11,0.5,Politico/Morning Consult,2/4/2019,29,22,NA,8,NA,3,1,NA,NA,NA,13,5,7,1,NA,NA,NA,NA,NA
9,-0.7,Monmouth,1/25/2019,29,16,NA,8,0,2,1,NA,NA,NA,11,4,7,1,NA,NA,NA,NA,0
11,0.5,Politico/Morning Consult,1/25/2019,33,15,NA,6,NA,1,0,NA,NA,NA,10,3,6,1,NA,NA,NA,NA,NA
4,-1.8,Emerson*,1/20/2019,45,5,NA,3,NA,1,2,NA,NA,NA,3,8,3,8,NA,NA,NA,NA,NA
11,0.5,Politico/Morning Consult,1/18/2019,26,16,NA,6,NA,2,NA,NA,NA,NA,9,4,6,2,NA,NA,NA,NA,NA
6,0.9,Harvard-Harris,1/15/2019,24,13,NA,5,NA,NA,1,NA,NA,NA,4,2,9,2,NA,NA,NA,NA,NA
6,0.9,Harvard-Harris,1/15/2019,23,21,NA,4,NA,NA,2,NA,NA,NA,7,3,8,1,NA,NA,NA,NA,NA
11,0.5,Politico/Morning Consult,1/11/2019,32,15,NA,9,NA,1,NA,NA,NA,NA,6,2,8,0,NA,NA,NA,NA,NA
11,0.5,Politico/Morning Consult,1/4/2019,27,16,NA,4,NA,2,NA,NA,NA,NA,3,3,7,0,NA,NA,NA,NA,NA
11,0.5,Politico/Morning Consult,12/14/2018,25,15,NA,3,NA,1,NA,NA,NA,NA,3,3,8,1,NA,NA,NA,NA,NA
2,0.1,CNN,12/6/2018,30,14,NA,3,NA,NA,NA,NA,NA,NA,4,5,9,NA,NA,NA,NA,NA,NA
4,-1.8,Emerson,12/6/2018,26,22,NA,7,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
6,0.9,Harvard-Harris,11/25/2018,28,21,NA,5,NA,NA,NA,NA,NA,NA,3,4,7,NA,NA,NA,NA,NA,NA
6,0.9,Harvard-Harris,11/25/2018,25,15,NA,4,NA,NA,NA,NA,NA,NA,2,3,9,NA,NA,NA,NA,NA,NA
11,0.5,Politico/Morning Consult,11/7/2018,26,19,NA,5,NA,1,NA,NA,NA,NA,4,3,8,1,NA,NA,NA,NA,NA
2,0.1,CNN,10/4/2018,33,13,NA,8,NA,1,NA,NA,NA,NA,9,5,4,NA,NA,NA,NA,NA,NA
